Creating Datasets
Training Starts!
Epoch 0, mae 0.49976545572280884
Epoch 1, mae 0.4230847954750061
Epoch 2, mae 0.3878326714038849
Epoch 3, mae 0.3765777349472046
Epoch 4, mae 0.3730044364929199
Epoch 5, mae 0.3720603585243225
Epoch 6, mae 0.37140682339668274
Epoch 7, mae 0.3744843900203705
Epoch 8, mae 0.37318751215934753
Epoch 9, mae 0.37356215715408325
Epoch 10, mae 0.3719876706600189
Epoch 11, mae 0.3715161681175232
