Creating Datasets
Training Starts!
Epoch 0, mae 1.2946401834487915
Epoch 1, mae 1.1111013889312744
Epoch 2, mae 1.0583280324935913
Epoch 3, mae 1.0256186723709106
Epoch 4, mae 1.0033694505691528
Epoch 5, mae 0.9863976240158081
Epoch 6, mae 0.9707778096199036
Epoch 7, mae 0.9625502824783325
Epoch 8, mae 0.9495559334754944
Epoch 9, mae 0.9425638914108276
Epoch 10, mae 0.9343251585960388
Epoch 11, mae 0.9256315231323242
Epoch 12, mae 0.912058413028717
Epoch 13, mae 0.9049249887466431
Epoch 14, mae 0.8976221680641174
Epoch 15, mae 0.8913979530334473
Epoch 16, mae 0.889115571975708
Epoch 17, mae 0.8863573670387268
Epoch 18, mae 0.8832928538322449
Epoch 19, mae 0.8820563554763794
Epoch 20, mae 0.8802992105484009
Epoch 21, mae 0.8782343864440918
Epoch 22, mae 0.877948522567749
Epoch 23, mae 0.8791279792785645
Epoch 24, mae 0.8799523115158081
Epoch 25, mae 0.8842995762825012
Epoch 26, mae 0.8808928728103638
Epoch 27, mae 0.872622013092041
Epoch 28, mae 0.8795222640037537
Epoch 29, mae 0.8832966089248657
AUC: tensor(27.0189, device='cuda:0')
